,sents
8255,Tottenham lacked creativity from midfield and their only moment in the first half came when Kane received the ball in the box and his cross was deflected towards goal and diverted behind by the left leg of goalkeeper Mike Maignan
8256,"Maignan produced a fine save to keep out an injury-time header from Harry Kane and on the counter-attack, Origi could have wrapped up the tie but hit the left post"
8257,"Spurs were unable to overturn a one-goal deficit from the first leg, delivering a poor performance on Antonio Conte's return to the touchline which was compounded by a late red card for Cristian Romero"
8258,Cristian Romero and Clement Lenglet were both booked inside the first 21 minutes which meant they would miss the quarter-finals as Milan went closest seeing Junior Messias fire recklessly wide from inside the box at the end of a well-worked free-kick routine
8259,AC Milan were wasteful in possession and were there for the taking yet Spurs couldn't break them down before Romero recklessly slid in on Theo Hernandez by the touchline and was shown a second yellow card
8260,Cristian Romero and Clement Lenglet were both booked inside the first 21 minutes which meant they would miss the quarter-finals as Milan went closest seeing Junior Messias fire recklessly wide from inside the box at the end of a well-worked free-kick routine
8261,Cristian Romero and Clement Lenglet were both booked inside the first 21 minutes which meant they would miss the quarter-finals as Milan went closest seeing Junior Messias fire recklessly wide from inside the box at the end of a well-worked free-kick routine
8262,"Marco Rose's side were much brighter in the second half, Benjamin Henrichs going close twice soon after his half-time introduction, and when Christopher Nkunku came on Leipzig really started to believe"
8263,Andre Silva and Dominik Szoboszlai forced smart saves from Ederson but the goalkeeper had no answer when Gvardiol leaped above Ruben Dias and nodded into the net
8264, Even Ederson had 37
8265,Andre Silva and Dominik Szoboszlai forced smart saves from Ederson but the goalkeeper had no answer when Gvardiol leaped above Ruben Dias and nodded into the net
8266,Failing to find Erling Haaland as often as the striker would like has been a feature of Manchester City's season despite the Norwegian's prolific scoring record
8267," In the absence of Kevin De Bruyne through illness, the struggle to get the ball to Haaland was even clearer"
8268,Haaland had 22 touches of the ball
8269,"Havertz sent his initial effort against the post after Marius Wolf was penalised for handball but a re-take was ordered due to encroachment and the Germany international held his nerve, picking the same spot and converting at the second attempt (53)"
8270,"Dortmund had the better of things after that as they attempted to claw a goal back and force extra time, but Chelsea withstood the visitors' pressure, with Jude Bellingham sending a glorious chance wide and Wolf seeing a diagonal effort saved by Kepa"
8271,"Chelsea were indebted to Chilwell again when he showed impressive alertness at the other end to prevent Raphael Guerreiro from going through on goal just before the break, and their second arrived soon after play resumed after half-time"
8272,"Dortmund weathered the early storm and went close themselves when a Marco Reus free-kick forced an acrobatic save from Kepa Arrizabalaga, but Chelsea were soon in the ascendency again"
8273,Eder Militao's header from Luka Modric's free-kick gave Carlo Ancelotti's side the lead early in the second half before Benzema's shot deflected off Joe Gomez and beyond Alisson to silence Anfield
8274," By the end, he was tormenting Trent Alexander-Arnold"
8275,Eder Militao's header from Luka Modric's free-kick gave Carlo Ancelotti's side the lead early in the second half before Benzema's shot deflected off Joe Gomez and beyond Alisson to silence Anfield
8276, Darwin Nunez's flick put them in front inside four minutes before Mohamed Salah seized on a Thibaut Courtois error
8277, Darwin Nunez's flick put them in front inside four minutes before Mohamed Salah seized on a Thibaut Courtois error
8278,"With Real Madrid rocking, they instead showed that characteristic quality and calm, Vinicius rifling the ball low into the far corner of Alisson's net to pull one back, before the goalkeeper replicated the mistake by Courtois by gifting the Brazilian his second of the night"
8279,"Dortmund, for all their first-half possession, had little clear-cut for Kepa Arrizabalaga to deal with, Sebastien Haller's shot on the angle being as close as they came"
8280,"One-on-one with Fernandez, he outpaced the backtracking midfielder and rounded Kepa before slotting low into the net"
8281, Once behind they pushed hard for the equaliser and came close when Kalidou Koulibaly had his fierce shot cleared off the line by Emre Can
8282,"The game flipped in the second half, Chelsea taking control and testing the goalkeeper through James, while Mudryk and Enzo Fernandez had efforts blocked"
8283,"Dortmund were jittery thereafter as the away side tried to fashion an equaliser, Fernandez forcing a fine save from the excellent Gregor Kobel from the edge of the box"
8284," The second, on his weaker left foot, came back off the crossbar having been set up by Kai Havertz"
8285,"The game flipped in the second half, Chelsea taking control and testing the goalkeeper through James, while Mudryk and Enzo Fernandez had efforts blocked"
8286, It was really poor defending from City's point of view as Mir was left in three yards of space from an Isco corner to loop a header into the far corner
8287," Chilwell failed to block a cross which Azpilicueta got his head to but could not direct clear, and with Kalidou Koulibaly caught on his heels Petkovic was presented a simple finish to open the scoring"
8288," Chilwell failed to block a cross which Azpilicueta got his head to but could not direct clear, and with Kalidou Koulibaly caught on his heels Petkovic was presented a simple finish to open the scoring"
8289,"With Chelsea only playing for pride, but needing to shake off the memory of that hammering on the south coast, they could not have got off to a worse start when Cesar Azpilicueta's miscued header teed up Petkovic to stoop and nod home after seven minutes"
8290," Chilwell failed to block a cross which Azpilicueta got his head to but could not direct clear, and with Kalidou Koulibaly caught on his heels Petkovic was presented a simple finish to open the scoring"
8291,"The hosts then had two golden opportunities to ram home their advantage, with De Ketelaere, on as a substitute only moments earlier, heading tamely wide after Oliver Giroud had nodded a cross back into the danger area, and defender Thiaw then doing the same when picked out by Leao in an even better position"
8292,"The goal came after Theo Hernandez beat Cristian Romero to a long pass on the left and forced a parry from Fraser Forster, who then acrobatically saved Diaz's follow-up, only for the winger to force the loose ball into the net with a diving header"
8293,"Their personnel issues will continue in the second leg at the Tottenham Hotspur Stadium, with a yellow card to Eric Dier meaning he will miss out through suspension, but the one-goal margin of defeat means the tie is still open for Conte and his players"
8294,"Dier failed to connect properly with a header of his own, from a corner, as Spurs attempted to punish those Milan misses at the other end of the pitch, but Diaz's goal ultimately proved decisive on the night, leaving the tie intriguingly poised for the second leg"
8295,"Conte threw on Richarlison for Dejan Kulusevski in an attempt to increase his side's attacking threat but they could only muster occasional half-chances, with the impressive Sarr shooting too close to Milan goalkeeper Ciprian Tatarusanu from distance"
8296,"Conte threw on Richarlison for Dejan Kulusevski in an attempt to increase his side's attacking threat but they could only muster occasional half-chances, with the impressive Sarr shooting too close to Milan goalkeeper Ciprian Tatarusanu from distance"
8297,"However, two Liverpool goals did come late on when Salah prodded home from close range after Nunez's header had been clawed off the line by goalkeeper Alex Meret before Nunez grabbed himself a goal, awarded by VAR, after tapping home from Virgil van Dijk's initial header which was saved"
8298,Klopp's men played with sharpness for short bursts in the first half with Thiago testing the gloves of Meret from range and Curtis Jones - playing as part of the Liverpool front three - heading over following a clever flicked cross from Roberto Firmino
8299," Nunez - who replaced Jones with 17 minutes left to play - sent a powerful header towards goal that Meret juggled just about away from his goalline but Salah was quickest to react and just about bundled it over the line, meaning he has scored in his last five Champions League matches"
8300,Henderson's bent pass from the right was excellent and found the unmarked Salah in lots of space to steer the ball past Remko Pasveer
8301,Whatever was said in Klopp's half-time team talk certainly worked as a lovely move moments later saw Elliott played in by Salah and his right-foot shot flashed past Pasveer to put the result beyond doubt
8302,"It was a bad miss, a virtual open goal but the striker responded in the right manner and powered away from Jurrien Timber at the start of the second half to head in Robertson's corner"
8303,"Inevitably the game drifted to a conclusion from that point, with Ajax only mustering off-target shots from Steven Bergwijn, Kenneth Taylor, Berghuis, Alvarez and Timber as they slipped towards the Europa League"
8304,"Fortunately for Liverpool, the midfielder found the woodwork rather than the net but a blocked effort from Daley Blind followed and Berghuis shot wide before Edson Alvarez made Alisson work on his 200th appearance for the Reds as Ajax put the pressure on"
8305,"Fortunately for Liverpool, the midfielder found the woodwork rather than the net but a blocked effort from Daley Blind followed and Berghuis shot wide before Edson Alvarez made Alisson work on his 200th appearance for the Reds as Ajax put the pressure on"
8306,"Inevitably the game drifted to a conclusion from that point, with Ajax only mustering off-target shots from Steven Bergwijn, Kenneth Taylor, Berghuis, Alvarez and Timber as they slipped towards the Europa League"
8307,Steven Berghuis had smacked a shot against the post just three minutes in and Dusan Tadic would have expected to score when his effort was blocked by Trent Alexander-Arnold
8308,Steven Berghuis had smacked a shot against the post just three minutes in and Dusan Tadic would have expected to score when his effort was blocked by Trent Alexander-Arnold
8309,Liverpool made three changes from Saturday's defeat to Premier League bottom club Nottingham Forest and switched to a midfield diamond as they searched for a response to that setback - but they were extremely slow out of the blocks and looked set to go behind when Berghuis lined up his shot in the box from Brian Brobbey's lay-off moments after kick-off
8310,"Fortunately for Liverpool, the midfielder found the woodwork rather than the net but a blocked effort from Daley Blind followed and Berghuis shot wide before Edson Alvarez made Alisson work on his 200th appearance for the Reds as Ajax put the pressure on"
8311,Steven Berghuis had smacked a shot against the post just three minutes in and Dusan Tadic would have expected to score when his effort was blocked by Trent Alexander-Arnold
8312, It wasn't until Alexander-Arnold got himself in the way of Tadic's shot on the break that the visitors finally came to life
8313,Eric Bailly was forced off early as his injury problems continued before Veretout had a good chance of breaking the deadlock when his shot was palmed away by Hugo Lloris
8314,Hojbjerg struck the crossbar for the visitors but Marseille should have scored late on when Sead Kolasinac somehow missed an open goal with a header
8315,Spurs survived a hair-raising moment in the 87th minute as former Arsenal player Kolasinac put a free header wide at the far post
8316," Spurs had completed six passes in the final third, so Conte ordered a tactical change from afar - Ryan Sessegnon was replaced by Emerson Royal at the interval"
8317, Ivan Perisic sent in a delicious free-kick which Lenglet headed home as Spurs continued their set-piece prowess
8318,"Spurs, with head coach Antonio Conte in the stands, lost forward Son Heung-min to a head injury in a torrid opening period but were a different team after the break and took control after Lenglet's equaliser"
8319, But Spurs were dealt a blow when Son was forced off midway through the opening period after sustaining a heavy knock to his cheekbone
8320,Tottenham revealed after the game that Son was removed with a swollen eye that will be fully assessed on Wednesday
8321,"""Tottenham will wait until Wednesday to assess the extent of the injury suffered by Son Heung-min"
8322,"The injury to Son is a worry, especially with the Premier League clash with Liverpool coming up on Sunday, while he could have worries over the forthcoming World Cup"
8323," Spurs had completed six passes in the final third, so Conte ordered a tactical change from afar - Ryan Sessegnon was replaced by Emerson Royal at the interval"
8324,Erling Haaland and Joao Cancelo were replaced at half-time
8325," The in-form striker was kept very quiet by former teammate Mats Hummels, while Cancelo was caught out one too many times by the impressive Karim Adeyemi"
8326,"At half-time, Pep Guardiola introduced Bernardo Silva and another former Dortmund player in Manuel Akanjil for Haaland and Cancelo as he looked to inject some life into his City team"
8327,"An impressive match from the 20-year-old, who consistently caught Cancelo out in behind in the first half, so much so that the full-back was taken off at half-time"
8328,Man City secured top spot in their Champions League group - despite another missed penalty from Riyad Mahrez - and Borussia Dortmund reached the last 16 after a 0-0 draw at Signal Iduna Park
8329,"""Man City had a golden chance to wrap up three points when Emre Can tripped Mahrez over inside the area, giving the visitors a stonewall penalty"
8330,A poor Rodri shot from range was the pick of Man City's chances up until the one minute of added injury time
8331,"""Two of England's brightest prospects both played on Tuesday evening in Phil Foden and Jude Bellingham"
8332,"Foden played 81 minutes - when he was replaced by fellow England hopeful, Jack Grealish - and had a few flashes of quality, although not enough to fully affect the game"
8333," Then, Julian Alvarez let fly with a superb first-time strike after a neat set-up from Mahrez, but saw his effort saved"
8334,Erling Haaland and Joao Cancelo were replaced at half-time
8335,"At half-time, Pep Guardiola introduced Bernardo Silva and another former Dortmund player in Manuel Akanjil for Haaland and Cancelo as he looked to inject some life into his City team"
8336,"""Man City had a golden chance to wrap up three points when Emre Can tripped Mahrez over inside the area, giving the visitors a stonewall penalty"
8337,"Man City failed to have a shot on target in the first half - the second time that has happened in the Champions League this season, having also failed to do so against Dortmund in the reverse fixture - and the hosts should have gone ahead before the break, but Youssoufa Moukoko turned an effort wide from close range"
8338, Adeyemi fired in a cross from the right with Moukoko there to collect
8339,"Chelsea had further chances to add to their lead - notably through Pulisic, who fluffed his lines when set up by Havertz - while Kepa Arrizabalaga had to be bailed out by Thiago Silva when he was beaten to a high ball into the area by Strahinja Pavlovic, but Chelsea were able to hold on and end Salzburg's remarkable 40-game unbeaten run at home"
8340,"The head coach had boldly opted for Raheem Sterling and Christian Pulisic as his wing-backs in a 3-5-2 formation and, while they played their role in Chelsea's impressive attacking display, the duo left space behind them for the Austrian side to exploit, which they did when Maximilian Wober's brilliant cross from the left was turned in by Adamu"
8341,"The head coach had boldly opted for Raheem Sterling and Christian Pulisic as his wing-backs in a 3-5-2 formation and, while they played their role in Chelsea's impressive attacking display, the duo left space behind them for the Austrian side to exploit, which they did when Maximilian Wober's brilliant cross from the left was turned in by Adamu"
8342,"Potter's side proceeded to create a plethora of chances as they bamboozled Salzburg with their slick attacking football but were unable to extend their advantage as Aubameyang dallied over a one-on-one with Kohn, while Havertz directed a weak header straight at the 'keeper"
8343,"Thiago, Firmino and Diogo Jota played their part in his second goal as some lovely build-up ended with Salah squeezing another lovely strike past Allan McGregor"
8344,"After a such a bright start, it turned into an embarrassing night for Rangers, who lost both Connor Goldson and Ryan Jack to injuries and conceded a seventh to Harvey Elliott that was eventually awarded by VAR"
8345,"After a such a bright start, it turned into an embarrassing night for Rangers, who lost both Connor Goldson and Ryan Jack to injuries and conceded a seventh to Harvey Elliott that was eventually awarded by VAR"
8346,"Arfield was the man to send Ibrox delirious, finishing off a flowing move courtesy of a defence-splitting Jack pass"
8347,"Rangers took the lead through Scott Arfield but the brilliant Roberto Firmino levelled it up and Liverpool took over after half-time, scoring six unanswered goals - including three in six minutes from substitute Salah - to leave the hosts unable to make it through to the last 16"
8348,"Arfield was the man to send Ibrox delirious, finishing off a flowing move courtesy of a defence-splitting Jack pass"
8349, Arfield squandered a fantastic chance from 10 yards after some rapid wing-play from Fashion Sakala
8350, Arfield squandered a fantastic chance from 10 yards after some rapid wing-play from Fashion Sakala
8351,Klopp's men looked lost as they tried to stage a fightback as Joe Gomez played an inexplicable blind pass back to Alisson and Antonio Colak should have done better with his finish
8352,Klopp's men looked lost as they tried to stage a fightback as Joe Gomez played an inexplicable blind pass back to Alisson and Antonio Colak should have done better with his finish
8353,Firmino got his second to give Liverpool the lead on 55 minutes before the Brazilian's flick set up Darwin Nunez to net his second goal in as many games
8354,Nunez - who played yet again like a man trying too hard - curled a wayward effort when squeezing in behind the Rangers back four
8355,There was a heart-in-mouth moment for goalkeeper Ederson after just four minutes when he miscontrolled a backpass to concede a corner
8356,The game fell flat and there was a shortage of goalmouth action until Joao Cancelo tested Grabara from distance late on
8357,"Manchester City qualified for the last 16 of the Champions League despite resting Erling Haaland, missing a penalty and having Sergio Gomez sent off in a frustrating VAR-dominated goalless draw with Copenhagen"
8358,There was then further drama at the other end when Gomez tangled with Hakon Haraldsson on the edge of the area
8359," Much to City's consternation, he ruled out the strike for handball against Riyad Mahrez in the build-up"
8360,"Mahrez looked like being the beneficiary of the VAR's intervention soon after, however, when referee Dias awarded City a penalty following another review"
8361,The official concluded Nicolai Boilesen had handled Manuel Akanji's header at goal but Mahrez was unable to take advantage as Kamil Grabara saved his spot-kick
8362,"Forced to play with 10 men for an hour, City manager Guardiola decided to sacrifice Mahrez to send on an extra defender in Ruben Dias"
8363,The introduction of Phil Foden could not spark City and the game petered out
8364,"Conor Gallagher remained on the bench despite stealing the show on Saturday with a brilliant winner at Crystal Palace, as did Jorginho - who picked up a knock at the weekend - and summer signing Denis Zakaria"
8365,"Conor Gallagher remained on the bench despite stealing the show on Saturday with a brilliant winner at Crystal Palace, as did Jorginho - who picked up a knock at the weekend - and summer signing Denis Zakaria"
8366,But Chelsea quickly asserted their control and could have scored within five minutes when Mason Mount saw his curling effort from the edge of the area tipped behind by Ciprian Tatarusanu
8367,"That was the only moment of panic for Potter's side, who doubled their lead shortly after the break thanks to Aubameyang, who lost Fikayo Tomori a little too easily before turning home James' cross (56)"
8368,The only negative for Chelsea came shortly after when Fofana collided with Rafael Leao and hobbled down the tunnel
8369,"After setting up Aubameyang's goal with a fine cross, James added his second goal of the season shortly after to crown a magnificent display in which he kept the much-hyped Leao quiet for much of the evening"
8370,Frankfurt then had their best spell of the first half - Sebastian Rode's effort was blocked behind before Randal Kolo Muani's clipped shot was punched away by Hugo Lloris at the near post
8371, Lloris made a superb save to deny Ansgar Knauff before Son once again fired wide as Tottenham continued to see chances pass them by
8372," Romero was put under pressure after a Lloris pass, with an Eric Dier deflection sending the ball into Lindstrom's path"
8373," Son fired in a short free-kick, with both Cristian Romero and Kane missing the delivery"
8374," Romero was put under pressure after a Lloris pass, with an Eric Dier deflection sending the ball into Lindstrom's path"
8375,"Tottenham were arguably lucky to end the game with 11 men as Clement Lenglet put his arm across Lindstrom to keep the forward from breaking late on, bringing him down"
8376,"Tottenham's Ivan Perisic said ahead of this game, following on from Spurs' lacklustre 3-1 defeat to Arsenal: ""It is a new day, a new game"
8377," Harry Kane and Heung-Min Son, in particular, saw efforts they would usually bury sail wide of the target"
8378,"Kane also took a few knocks to his knee in either half and looked to be in some pain shortly after the second, but completed the game - much to the relief of Spurs and England fans alike"
8379," Son fired in a short free-kick, with both Cristian Romero and Kane missing the delivery"
8380," In the 25th minute, Son flashed a wonderful centre through the six-yard box, but a sliding Kane missed it before clattering into the back of the net himself"
8381," The pair linked up again soon after, but Kane again fired wide from 22 yards out"
8382,All three shots against Frankfurt failed to hit the target and although his first-half effort following a fantastic flick from Harry Kane was inches from finding the top corner it was still a rather snatched effort
8383," Son fired in a short free-kick, with both Cristian Romero and Kane missing the delivery"
8384," In the 25th minute, Son flashed a wonderful centre through the six-yard box, but a sliding Kane missed it before clattering into the back of the net himself"
8385, Lloris made a superb save to deny Ansgar Knauff before Son once again fired wide as Tottenham continued to see chances pass them by
8386,"Heung-Min Son was the guiltiest party, making rash and rushed decisions either with his finishing or that killer last pass"
8387,"The hosts then wrapped up the points in stoppage time when Arthur Gomes, another substitute, cut in from the left and breezed past Cristian Romero and Emerson Royal before slotting a low finish into the corner"
8388,"The visitors did rally after the break, creating a flurry of chances, with Royal heading wide then firing a low shot straight at Sporting goalkeeper Antonio Adan in the space of a couple of minutes"
8389,"Spurs' best openings, contrastingly, fell to full-back Emerson Royal which spoke volumes about their non-existent frontline"
8390,"The hosts then wrapped up the points in stoppage time when Arthur Gomes, another substitute, cut in from the left and breezed past Cristian Romero and Emerson Royal before slotting a low finish into the corner"
8391,"Harry Kane then drew another save from Adan, while Richarlison fired wide on one occasion, then sent a header past the post on another, but Sporting soon regained their composure"
8392, Harry Kane and Richarlison shared a chance apiece
8393," The wonderfully-cheery Son smile, for which he is famed, has disappeared"
8394, Sombre Son is the new guise
8395, None for Son
8396,"Harry Kane then drew another save from Adan, while Richarlison fired wide on one occasion, then sent a header past the post on another, but Sporting soon regained their composure"
8397, Harry Kane and Richarlison shared a chance apiece
8398,He cut a forlorn figure when coming off the pitch in the 72nd minute to make way for Dejan Kulusevski
8399,"Incredibly, McGregor again guessed right to stop the Poland midfielder's spot kick, however, the visitors were then awarded a third penalty when Borna Barisic was deemed to have handled Kvicha Kvaratskhelia's shot in the box"
8400,Of their efforts from range it took 45 minutes until Marseille tested Hugo Lloris as former Arsenal man Matteo Guendouzi sent a stinging low drive from 25 yards that was palmed away
8401,"""Then I changed the two central defenders with fresh central defenders to push on one side with Japhet and Ben Davies on the other"
8402,Marseille had looked comfortable up until Chancel Mbemba was sent off for denying a clear goalscoring opportunity just after half-time for wiping out Heung-Min Son
8403,"The game-changing moment came when Mbemba - formerly of Newcastle - timed his last-man challenge badly on the sprinting Son, who was too quick for the defender"
8404,"Thomas Tuchel's side were caught napping in 13th minute as Orsic ran from his own half, latching onto a ball from strike partner Bruno Petkovic, to outpace £70m signing Wesley Fofana before dinking the ball beyond Kepa Arrizabalaga"
8405,"The hosts soaked up untold Chelsea pressure before stealing the lead, but held onto their advantage admirably, staving off a belated onslaught as chances for Kai Havertz and Hakim Ziyech went begging"
8406,New striker Aubameyang was tentative on his Blues bow - sporting a face mask to protect his broken jaw - while support cast Raheem Sterling and Havertz were similarly lacklustre
8407,New striker Aubameyang was tentative on his Blues bow - sporting a face mask to protect his broken jaw - while support cast Raheem Sterling and Havertz were similarly lacklustre
8408,New striker Aubameyang was tentative on his Blues bow - sporting a face mask to protect his broken jaw - while support cast Raheem Sterling and Havertz were similarly lacklustre
8409,"The hosts soaked up untold Chelsea pressure before stealing the lead, but held onto their advantage admirably, staving off a belated onslaught as chances for Kai Havertz and Hakim Ziyech went begging"
8410,The Belgian soon sent Vinicius clear despite major suspicions of offside but Joe Hart did well to block
8411, Juranovic could not make up the ground to cut out the low cross and the 22-year-old slotted into the corner
8412,Vinicius was breaking well down the left for Real and Cameron Carter-Vickers blocked Modric's shot but Celtic continued to press and Abada soon spurned an even better opportunity
8413,Captain Callum McGregor watched his shot crash off the post with Liel Ababa and Reo Hatate denied by Real goalkeeper Thibaut Courtois as the hosts impressed in the first half
8414,Captain Callum McGregor watched his shot crash off the post with Liel Ababa and Reo Hatate denied by Real goalkeeper Thibaut Courtois as the hosts impressed in the first half
8415,"Furuhashi, Jota and substitute Sead Haksabanovic went close to rewarding the Celtic support's incessant backing with a goal but their appreciation of their team at full-time was further evidence they still believe they can make their mark on the tournament"
8416, The ball fell for Abada inside the box but Courtois pushed the Israel international's shot wide at full stretch
8417,Vinicius was breaking well down the left for Real and Cameron Carter-Vickers blocked Modric's shot but Celtic continued to press and Abada soon spurned an even better opportunity
8418,"Jota's first-time pass sent his fellow winger clear after Celtic took a quick free-kick on the edge of their box, but Abada shot straight at the goalkeeper"
8419,Maeda replaced Abada at the break but missed the best chance yet within two minutes when he scuffed an effort straight at Courtois from six yards following Josip Juranovic's cross
8420,Maeda replaced Abada at the break but missed the best chance yet within two minutes when he scuffed an effort straight at Courtois from six yards following Josip Juranovic's cross
8421,Real had taken the sting out of the game and Kyogo Furuhashi's introduction in the 72nd minute lifted the home crowd
8422,"Hazard soon silenced them, briefly at any rate, when he scored from six yards after Dani Carvajal had cut the ball back following a deep cross"
8423," who lost Karim Benzema to injury in the first half, join Shakhtar Donetsk at the top of Group F after they defeated RB Leipzig"
8424," Foden was involved in the third, and Haaland's second, when some more quick footwork set up a strike that Bono tamely parried clear straight into his path"
8425,"When Tillman robbed the dithering Andre Ramalho inside the PSV box after the defender had taken a risky pass from keeper Benitez, he had the easiest of tasks to roll the ball to Colak to knock into an empty net"
8426,Rangers had to defend for their lives in the final stages and Philipp Max missed the target with a drive while McLaughlin made a brilliant save from Gakpo to help the visitors see out the nervy ending and get back among the big boys of European football
8427,"PSV came back to life, however, and captain Luuk de Jong just missed a cross from Jordan Teze 10 yards from goal before the unmarked Ibrahim Sangare head a Cody Gakpo corner over the bar"
8428,"PSV came back to life, however, and captain Luuk de Jong just missed a cross from Jordan Teze 10 yards from goal before the unmarked Ibrahim Sangare head a Cody Gakpo corner over the bar"
8429, Three minutes from the break De Jong got away from defender Connor Goldson but his close-range effort was well saved by Jon McLaughlin and just moments later Gakpo fired over the bar from 16 yards with the keeper well off his line
8430,Rangers had to defend for their lives in the final stages and Philipp Max missed the target with a drive while McLaughlin made a brilliant save from Gakpo to help the visitors see out the nervy ending and get back among the big boys of European football
8431,"Moreover, on the Gers' thrilling run to the Europa League final last season, Red Star Belgrade, Braga and RB Leipzig were all dispatched in Govan so optimism was high amid the pre-match usual colour and noise as the fans welcomed back Lawrence, Ryan Kent, James Sands and Steven Davis"
8432,"Minutes later, from a James Tavernier corner, there was a VAR check for a penalty after a header from Gers defender Connor Goldson seemed to hit the arm of a PSV's Jordan Teze but play eventually continued"
8433,"In front of the watching Sir Alex Ferguson, PSV goalkeeper Walter Benitez then endured a Massimo Taibi moment in the 69th minute - allowing Tom Lawrence's speculative free-kick to squirm out of his gloves and spin behind him over the line in the Glasgow downpour"
8434,Rangers' first effort on goal came in the 22nd minute but attacker Malik Tillman's low drive from 20 yards after he took a Davis pass was comfortably saved by Benitez
8435,"Three minutes later, Davis slid Tavernier in behind the PSV defence and he cut the ball back for Colak to steer his low drive last Benitez"
8436,Rangers finished the first half on top with Benitez having to save a Tavernier header and early in the second half the PSV keeper made a better stop from Colak's angled drive
8437,Rangers struggled to get up the pitch but in the 67th minute Tillman drove at the visitors' defence but his shot caused Benitez little concern
8438,"The first fell to Odegaard following a Nuno Tavares cut-back, but his low effort was repelled at close-range"
8439,"Having collected a pass from substitute Nicolas Pepe on the edge of the box, he shimmied away from Everton youngster Isaac Price before rolling a sublime, side-footed finish into the bottom corner"
8440,"They had to wait for a VAR check after Martinelli's initial shot had been blocked by former Arsenal man Alex Iwobi, but Andre Marriner pointed to the spot after consulting the pitchside monitor for handball and Martinelli made no mistake, sending Begovic the wrong way"
8441, I thought Tom Davies played well and Dominic Calvert-Lewin really showed his power
8442,"Having collected a pass from substitute Nicolas Pepe on the edge of the box, he shimmied away from Everton youngster Isaac Price before rolling a sublime, side-footed finish into the bottom corner"
8443,"Antonio Rudiger and Andreas Christensen will both leave Stamford Bridge on free transfers at their end of their contracts, while there are questions over a number of players' futures, including Cesar Azpilicueta, Jorginho and N'Golo Kante"
8444,"Antonio Rudiger and Andreas Christensen will both leave Stamford Bridge on free transfers at their end of their contracts, while there are questions over a number of players' futures, including Cesar Azpilicueta, Jorginho and N'Golo Kante"
8445,"That feeling was backed up by each team's starting line-ups, with Chelsea handing Saul Niguez a rare start and Kenedy being brought in for his first league start for the club in five years"
8446, It suits Reece James and Ben Chilwell very well because they have a bit more freedom to attack on both sides
8447,"It looked like being a familiar tale for Chelsea, who came into the game on the back of just one home win in their last five league visits to Stamford Bridge, but Barkley was on hand to ensure the Blues ended the season on a winning note when his header from James' cross squirmed past Daniel Bachmann in the Watford goal (90)"
8448,"The hosts started brightly, enjoying 69 per cent of possession in the opening 15 minutes and seeing Moises Caicedo force Lukasz Fabianski into a smart save down to his left"
8449," Solly March brought down a cross inside the West Ham area and teed up Veltman, whose low drive squirmed under the body of Fabianski"
8450,"Bryan Mbeumo missed presentable opportunities in either half for the hosts before a rare David Raya howler saw him scuff a pass straight to Rodrigo, who he then bundled over in the box"
8451,"He was booked for his celebrations and was soon shown a second yellow for fouling Raphinha on the halfway line, but still Leeds could not re-establish their advantage until Harrison's long-range deflected effort beat Raya in the fourth minute of injury time to guarantee their survival"
8452,"That survival bid was given another helping hand when Kristoffer Ajer was forced off injured after Brentford had used all three substitutes, but they still reignited Leeds' sense of angst as Sergi Canos nodded home Josh Dasilva's cross to level"
8453," It should have been an easier afternoon for Marsch's side, who were handed a glorious chance for the opener through Raya's mistake and then should have seen out victory when Ajer was forced off injured"
8454,"Bryan Mbeumo missed presentable opportunities in either half for the hosts before a rare David Raya howler saw him scuff a pass straight to Rodrigo, who he then bundled over in the box"
8455,"That survival bid was given another helping hand when Kristoffer Ajer was forced off injured after Brentford had used all three substitutes, but they still reignited Leeds' sense of angst as Sergi Canos nodded home Josh Dasilva's cross to level"
8456,"But they had struggled to create in open play all afternoon, and even with a man advantage their fate appeared perilous when Canos nodded in Dasilva's cross and the knowledge one Burnley goal at Turf Moor would be enough to send them down"
8457,"With their season hanging in the balance, Burnley caretaker Jackson threw caution to the wind, replacing defender Connor Roberts with striker Weghorst at the interval, but the nerves persisted, with Collins nearly putting through his own net in addition to his costly handball"
8458,"With their season hanging in the balance, Burnley caretaker Jackson threw caution to the wind, replacing defender Connor Roberts with striker Weghorst at the interval, but the nerves persisted, with Collins nearly putting through his own net in addition to his costly handball"
8459,"Wout Weghorst, Jack Cork and Cornet had efforts to be the Burnley saviour but to no avail, as their relegation by three points was confirmed in stoppage-time by Jack Harrison's winner for relegation-rivals Leeds"
8460,"Dwight McNeil fired a speculative shot harmlessly over before forcing a routine save from Newcastle goalkeeper Martin Dubravka on the stroke of half-time, as Burnley mustered just a single attempt on target in an underwhelming first half"
8461,"Maxwel Cornet halved the deficit nine minutes later and, as news of a Brentford equaliser against Leeds filtered through, belief grew that Burnley could find the priceless equalising goal needed to avoid the drop"
8462,"Wout Weghorst, Jack Cork and Cornet had efforts to be the Burnley saviour but to no avail, as their relegation by three points was confirmed in stoppage-time by Jack Harrison's winner for relegation-rivals Leeds"
8463,"Cornet gave Burnley hope nine minutes later when he rifled in a volley at the second attempt after Dubravka had saved his first shot, and with hopes rekindled, the Clarets laid siege to the Newcastle goal in search of a season-salvaging equaliser"
